Timp scurs: 0ms - Elful 1 este la 345, 34 in fabrica 1
Timp scurs: 1ms - Elful 2 este la 11, 9 in fabrica 2
Timp scurs: 1ms - Elful 1 este la 344, 34 in fabrica 1
Timp scurs: 1ms - Elful 2 este la 12, 9 in fabrica 2
Timp scurs: 30ms - Elful 3 este la 21, 31 in fabrica 3
Timp scurs: 30ms - Elful 3 este la 21, 30 in fabrica 3
Timp scurs: 32ms - Elful 1 este la 344, 35 in fabrica 1
Timp scurs: 32ms - Elful 2 este la 12, 10 in fabrica 2
Timp scurs: 61ms - Elful 3 este la 22, 30 in fabrica 3
Timp scurs: 63ms - Elful 1 este la 344, 36 in fabrica 1
Timp scurs: 63ms - Elful 2 este la 13, 10 in fabrica 2
Timp scurs: 92ms - Elful 3 este la 21, 30 in fabrica 3
Timp scurs: 94ms - Elful 2 este la 13, 9 in fabrica 2
Timp scurs: 94ms - Elful 1 este la 343, 36 in fabrica 1
Timp scurs: 123ms - Elful 3 este la 22, 30 in fabrica 3
Timp scurs: 125ms - Elful 2 este la 14, 9 in fabrica 2
Timp scurs: 125ms - Elful 1 este la 343, 35 in fabrica 1
Timp scurs: 154ms - Elful 3 este la 23, 30 in fabrica 3
Timp scurs: 156ms - Elful 2 este la 14, 10 in fabrica 2
Timp scurs: 156ms - Elful 1 este la 343, 36 in fabrica 1
Timp scurs: 185ms - Elful 3 este la 22, 30 in fabrica 3
Timp scurs: 187ms - Elful 2 este la 14, 11 in fabrica 2
Timp scurs: 187ms - Elful 1 este la 344, 36 in fabrica 1
Timp scurs: 216ms - Elful 3 este la 22, 31 in fabrica 3
Timp scurs: 218ms - Elful 2 este la 14, 12 in fabrica 2
Timp scurs: 218ms - Elful 1 este la 344, 37 in fabrica 1
Timp scurs: 247ms - Elful 3 este la 21, 31 in fabrica 3
Timp scurs: 249ms - Elful 1 este la 344, 38 in fabrica 1
Timp scurs: 249ms - Elful 2 este la 14, 11 in fabrica 2
Timp scurs: 277ms - Elful 3 este la 22, 31 in fabrica 3
Timp scurs: 279ms - Elful 1 este la 345, 38 in fabrica 1
Timp scurs: 279ms - Elful 2 este la 14, 10 in fabrica 2
Timp scurs: 308ms - Elful 3 este la 23, 31 in fabrica 3
Timp scurs: 310ms - Elful 1 este la 345, 37 in fabrica 1
Timp scurs: 310ms - Elful 2 este la 14, 11 in fabrica 2
Timp scurs: 339ms - Elful 3 este la 24, 31 in fabrica 3
Timp scurs: 341ms - Elful 1 este la 346, 37 in fabrica 1
Timp scurs: 341ms - Elful 2 este la 14, 10 in fabrica 2
Timp scurs: 370ms - Elful 3 este la 23, 31 in fabrica 3
Timp scurs: 372ms - Elful 2 este la 13, 10 in fabrica 2
Timp scurs: 372ms - Elful 1 este la 346, 36 in fabrica 1
Timp scurs: 401ms - Elful 3 este la 23, 32 in fabrica 3
Timp scurs: 403ms - Elful 2 este la 12, 10 in fabrica 2
Timp scurs: 403ms - Elful 1 este la 347, 36 in fabrica 1
Timp scurs: 432ms - Elful 3 este la 23, 33 in fabrica 3
Timp scurs: 434ms - Elful 1 este la 347, 37 in fabrica 1
Timp scurs: 434ms - Elful 2 este la 12, 9 in fabrica 2
Timp scurs: 463ms - Elful 3 este la 23, 32 in fabrica 3
Timp scurs: 465ms - Elful 2 este la 13, 9 in fabrica 2
Timp scurs: 465ms - Elful 1 este la 348, 37 in fabrica 1
Timp scurs: 494ms - Elful 3 este la 22, 32 in fabrica 3
Timp scurs: 496ms - Elful 1 este la 348, 38 in fabrica 1
Timp scurs: 496ms - Elful 2 este la 13, 8 in fabrica 2
Timp scurs: 525ms - Elful 3 este la 22, 31 in fabrica 3
Timp scurs: 527ms - Elful 1 este la 348, 39 in fabrica 1
Timp scurs: 527ms - Elful 2 este la 12, 8 in fabrica 2
Timp scurs: 556ms - Elful 3 este la 22, 30 in fabrica 3
Timp scurs: 558ms - Elful 1 este la 349, 39 in fabrica 1
Timp scurs: 558ms - Elful 2 este la 12, 9 in fabrica 2
Timp scurs: 587ms - Elful 3 este la 22, 29 in fabrica 3
Timp scurs: 589ms - Elful 2 este la 12, 8 in fabrica 2
Timp scurs: 589ms - Elful 1 este la 348, 39 in fabrica 1
Timp scurs: 618ms - Elful 3 este la 22, 30 in fabrica 3
Timp scurs: 620ms - Elful 1 este la 348, 40 in fabrica 1
Timp scurs: 620ms - Elful 2 este la 11, 8 in fabrica 2
Timp scurs: 648ms - Elful 3 este la 22, 31 in fabrica 3
Timp scurs: 650ms - Elful 2 este la 11, 9 in fabrica 2
Timp scurs: 650ms - Elful 1 este la 348, 41 in fabrica 1
Timp scurs: 658ms - Elful 4 este la 41, 34 in fabrica 3
Timp scurs: 658ms - Elful 3 este la 22, 31 in fabrica 3
Timp scurs: 658ms - Elful 4 este la 40, 34 in fabrica 3
Timp scurs: 679ms - Elful 3 este la 22, 30 in fabrica 3
Timp scurs: 679ms - Elful 4 este la 40, 34 in fabrica 3
Timp scurs: 681ms - Elful 2 este la 11, 10 in fabrica 2
Timp scurs: 681ms - Elful 1 este la 348, 42 in fabrica 1
Timp scurs: 689ms - Elful 3 este la 22, 30 in fabrica 3
Timp scurs: 689ms - Elful 4 este la 39, 34 in fabrica 3
Timp scurs: 710ms - Elful 3 este la 22, 31 in fabrica 3
Timp scurs: 710ms - Elful 4 este la 39, 34 in fabrica 3
Timp scurs: 712ms - Elful 1 este la 347, 42 in fabrica 1
Timp scurs: 712ms - Elful 2 este la 11, 9 in fabrica 2
Timp scurs: 720ms - Elful 3 este la 22, 31 in fabrica 3
Timp scurs: 720ms - Elful 4 este la 39, 33 in fabrica 3
Timp scurs: 741ms - Elful 3 este la 23, 31 in fabrica 3
Timp scurs: 741ms - Elful 4 este la 39, 33 in fabrica 3
Timp scurs: 743ms - Elful 1 este la 347, 43 in fabrica 1
Timp scurs: 743ms - Elful 2 este la 10, 9 in fabrica 2
Timp scurs: 751ms - Elful 3 este la 23, 31 in fabrica 3
Timp scurs: 751ms - Elful 4 este la 38, 33 in fabrica 3
Timp scurs: 751ms - Elful 5 este la 332, 200 in fabrica 1
Timp scurs: 751ms - Elful 1 este la 347, 43 in fabrica 1
Timp scurs: 751ms - Elful 5 este la 332, 201 in fabrica 1
Timp scurs: 772ms - Elful 3 este la 24, 31 in fabrica 3
Timp scurs: 772ms - Elful 4 este la 38, 33 in fabrica 3
Timp scurs: 774ms - Elful 2 este la 9, 9 in fabrica 2
Timp scurs: 774ms - Elful 1 este la 347, 42 in fabrica 1
Timp scurs: 774ms - Elful 5 este la 332, 201 in fabrica 1
Timp scurs: 782ms - Elful 1 este la 347, 42 in fabrica 1
Timp scurs: 782ms - Elful 5 este la 332, 200 in fabrica 1
Timp scurs: 782ms - Elful 3 este la 24, 31 in fabrica 3
Timp scurs: 782ms - Elful 4 este la 39, 33 in fabrica 3
Timp scurs: 803ms - Elful 3 este la 25, 31 in fabrica 3
Timp scurs: 803ms - Elful 4 este la 39, 33 in fabrica 3
Timp scurs: 805ms - Elful 2 este la 9, 10 in fabrica 2
Timp scurs: 805ms - Elful 1 este la 347, 43 in fabrica 1
